title,points,vintage,type,variety,region_2,region_1,province,country,winery,price,abv,description,taste,acidity,sweetness,tannin,body,cost-effectiveness,image,vivino_url
Tommasi I Pianeti Valpolicella,3.6,2020,Red wine,"Blend(Corvinone, Rodinella, Molinara)",Valpolicella,Veneto,Northern Italy,Italy,Tommasi,"₩43,033 ",12.00%,"This wine is a quintessential expression of Valpolicella Classico from the renowned Tommasi family, one of the most historic producers in the region. Crafted from the traditional grape blend of Corvinone, Rondinella, and Molinara, it is designed to be fresh, fruity, and approachable. The wine opens with a vibrant bouquet of fresh red fruits, showcasing prominent notes of cherry, raspberry, and strawberry. These bright fruit flavors are complemented by subtle hints of spice, such as licorice and cinnamon, which add a layer of complexity. On the palate, it is light to medium-bodied with bright acidity and smooth tannins, making it a versatile and highly enjoyable wine that is perfect for pairing with a wide variety of dishes.","red fruit, strawberry, bing cherry, cherry, red cherry, raspberry, licorice, cinnamon, black cherry, plum",4,1,2,2,4,https://m.keumyang.com/mall/shop_image_new/202105/2_1620704101_TommasiIPianetiValpolicellaDOC_1620704101.png,https://www.vivino.com/en/tommasi-i-pianeti-valpolicella/w/7696750?ref=nav-search
Brancaia Chianti Classico Riserva,4,2020,Red wine,Sangiovese,Cianti,Toscana,Central Italy,Italy,Brancaia,"₩76,284 ",14.00%,"It has blackberry, blueberry and anise aromas. Upfront, fruit flavors are of luscious, ripe strawberry and blackberry. Further back on the palate it offers a hint of almonds and a rich espresso note toward the finish. The wine ages 16 months in French oak barrels and matures for a few months in the bottle, prior to release.","oak, vanilla, tobacco, chocolate, cedar, coffee, cherry, red fruit, raspberry, red cherry, strawberry, cranberry, blackberry, plum, black fruit, black cherry, dark fruit, blueberry재시도Claude는 실수를 할 수 있습니다. 응답을 반드시 다시 확인해 주세요.",5,1,4,4,3,https://images.vivino.com/thumbs/KJZWjzMwTa6gQlLqEXrk-w_pb_x600.png,https://www.vivino.com/en/brancaia-chianti-classico-riserva/w/1279440?ref=nav-search
Tenuta CastelGiocondo Brunello di Montalcino,4.3,2018,Red wine,Sangiovese,Brunello di Montalcino,Toscana,Central Italy,Italy,Tenuta CastelGiocondo,"₩145,633 ",14.50%,"Castelgiocondo Brunello is a lively, luminous ruby -red colour with vermillion highlights. The nose offers a melange of berries, among which, blackberry dominates with floral notes of violets. Spicy black pepper and cardamom, followed by fresh notes of juniper, and toasted coffee and hazelnuts. The texture is dense withelegant tannins, full bodied. The finish is very long and warm; spicy notes are joined by equally intense fruity notes.","oak, tobacco, vanilla, chocolate, cedar, coffee, leather, earthy, mushroom, smoke, balsamic, forest floor, cherry, red fruit, raspberry, red cherry, strawberry, sour cherry",5,1,5,5,2,https://images.vivino.com/thumbs/r-gX8QN7ToCzZK-nR8hRZw_pb_x600.png,https://www.vivino.com/en/tenuta-castelgiocondo-brunello-di-montalcino/w/1098912?ref=nav-search
Antinori Villa Antinori Chianti Classico Riserva,4,2018,Red wine,Sangiovese,Chianti,Toscana,Central Italy,Italy,Sangiovese,"₩76,284 ",14.00%,"Marchesi Antinori’s passion for viticulture is expressed through perseverance: their continuous pursuit for quality improvement, even in the smallest details. Research and development is an ongoing process both in the vineyards and in the cellars: selecting new clones of local and international varieties: experimenting with new techniques in the vineyards and vineyard altitudes, new approaches to fermentation and temperature control, experimenting with both traditional and innovative winemaking philosophies, using new types of oak for barrels, barrel size and age, and varying length of aging in the bottle before commercial release.","oak, tobacco, vanilla, chocolate, cedar, clove, cherry, red fruit, raspberry, red cherry, strawberry, sour cherry, leather, earthy, smoke, mushroom, balsamic, minerals, cocoa",5,1,4,4,3,https://images.vivino.com/thumbs/XQJ1giITRNSH7MuGgslsTQ_pb_x600.png,https://www.vivino.com/en/antinori-tuscany-villa-antinori-chianti-classico-riserva/w/1143960?ref=nav-search
Scarànto Special Edition Governo All'Uso Toscano Rosso,4.1,2023,Red wine,Sangiovese,Scarànto,Toscana,Central Italy,Italy,Scarànto,"₩145,633 ",13.50%,"This wine is made using the traditional 'Governo All'Uso Toscano' method, a technique that enriches the Sangiovese grapes' character. A portion of the grapes are dried and added to the fermented wine to initiate a slow, secondary fermentation. This process results in a wine with greater complexity, a smoother texture, and more concentrated fruit flavors. It typically presents intense aromas of ripe red fruits, such as strawberry and cherry, which are beautifully integrated with notes of vanilla, chocolate, and leather from oak aging. A characteristic balsamic note on the finish adds to its depth, creating a rich and velvety Tuscan red.","red fruit, strawberry, oak, chocolate, vanilla, leather, balsamic",4,1,4,4,5,https://images.vivino.com/thumbs/B-CDZvvdQ1W-u03GNu0Icg_pb_x960.png,https://www.vivino.com/en/scaranto-special-edition-governo-all-uso-toscano-rosso/w/10588028?ref=nav-search
Castillo Perelada Empordà Grande Reserve Speciale Balduino y Fabiola,3.9,2018,Red wine,"Blend(Shiraz/Syrah, Grenache, Mourvedre, Samsó)",,mpordà,Catalunya,Spain,Castillo Perelada,"₩41,610 ",13.80%,"Intense cherry red color. Complex aroma, with hints of ripe fruit, balsamic and roasted background. The palate is broad, structured and balanced. It has very well integrated tannins and acidity gives much freshness. It is a wine with personality and a long aftertaste.","oak, vanilla, chocolate, caramel, coffee, cedar, plum, black cherry, blackberry, black fruit, blueberry, dark fruit, smoke, leather, earthy, balsamic, bacon fat, flint, graphite, minerals, tar",3,1,3,4,4,https://images.vivino.com/thumbs/ocKNqzs_SDa5-vUsOn9VpQ_pb_x600.png,https://www.vivino.com/en/castillo-perelada-emporda-grande-reserve-speciale-balduino-y-fabiola/w/1245225?ref=nav-search
Ruffino Modus Toscana,4.5,2017,Red wine,Sangiovese,,Toscana,Central Italy,Italy,Ruffino,"₩97,089 ",14.50%,"Ruby red colour. Intense and intriguing on the nose, initial aromas of mature red and black fruits, such as cherries, plums, and small black berries, typical of Sangiovese, are complemented by hints of spices, sweet tobacco, and refined balsamic notes. Full bodied with a modern Super Tuscan style, rich with silky tannins and flavors of mature blackberry fruit and cocoa. Vibrant fresh fruit flavors.","oak, tobacco, vanilla, chocolate, cedar, dark chocolate, blackberry, plum, dark fruit, black cherry, black fruit, blueberry, leather, earthy, smoke, balsamic, cocoa, mushroom",4,1,4,5,2,https://images.vivino.com/thumbs/X3gOCezaT2KjvqggZhKAFA_pb_x600.png,https://www.vivino.com/en/ruffino-modus-toscana/w/2183?ref=nav-search
Domaine Giboulot Savigny-lès-Beaune Blanc,4,2019,White wine,Chardonnay,Savigny-lès-Beaune,"Côte de Beaune, Burgundy",Burgundy,France,Domaine Giboulot,"₩100,000 ",13.00%,"A white Burgundy from the village of Savigny-lès-Beaune, known for producing elegant Chardonnay. The wine expresses notes of green apple, lemon, and white flowers, with a distinct mineral or flinty character derived from limestone-rich soils. Aging in oak adds subtle hints of vanilla and toasted nuts, leading to a complex and well-balanced wine with a crisp, lengthy finish.","apple, lemon, pear, citrus, mineral, flint, oak, vanilla, butter",5,1,1,3,3,https://images.vivino.com/thumbs/j7QhXHw7ReixaHSU5_-w7Q_pb_x600.png,https://www.vivino.com/fr/louis-jadot-domaine-gagey-savigny-les-beaune-clos-des-guettes-blanc/w/3043?ref=nav-search
Anciens Temps Blanc,3.6,2022,White wine,"White Blend (Sauvignon Blanc, Grenache Blanc)",Vin de France,France,,France,Vignerons de l'Enclave,"₩18,000 ",12.50%,"Anciens Temps is a Vin de France, allowing for the blending of grapes from different regions. This white blend is crafted to be fresh, fruity, and easy-drinking. It offers a bright aromatic profile of citrus fruits like grapefruit and lemon, along with notes of green apple and white flowers. The palate is light-bodied and crisp with a refreshing acidity, making it a pleasant wine for casual enjoyment.","citrus, grapefruit, lemon, green apple, floral, pear",3,1,1,2,4,https://images.vivino.com/thumbs/1U6Wx4BmQKyZNbG7_ai_Jg_pb_x600.png,https://www.vivino.com/fr/rapaura-springs-reserve-marlborough-sauvignon-blanc/w/2469416?ref=nav-search
Tenuta Luce Lucente,4.2,2019,Red wine,"Blend (Merlot, Sangiovese)",Toscana IGT,Toscana,Toscana,Italy,Tenuta Luce,"₩75,000 ",14.50%,"Lucente is the second wine of the renowned Super Tuscan estate, Tenuta Luce. A blend of Merlot and Sangiovese, it is crafted to be more approachable in its youth. The 2019 vintage is noted for its balance and richness, offering a bouquet of ripe blackberries, cherries, and plums, with notes of vanilla, cocoa, and sweet spices from oak aging. The palate is full-bodied and velvety with a long, fruity finish.","oak, vanilla, chocolate, blackberry, cherry, plum, raspberry, spice",4,1,4,4,3,https://images.vivino.com/thumbs/mrivmdHpRqig2KMs8Wchew_pb_x600.png,https://www.vivino.com/fr/tenuta-luce-lucente/w/83596?ref=nav-search
Rapaura Springs Reserve,4.1,2020,White wine,Sauvignon Blanc,Marlborough,South Island,Marlborough,New Zealand,Rapaura Springs,"₩40,000 ",13.00%,"The Reserve Sauvignon Blanc from Rapaura Springs showcases the quintessential character of Marlborough with greater intensity. The wine explodes from the glass with powerful aromas of passionfruit, grapefruit, and fresh herbs, with a distinctive mineral note. On the palate, it is concentrated and zesty, with a vibrant acidity that carries the intense fruit flavors to a long and mouth-watering finish.","passionfruit, grapefruit, gooseberry, tropical, grassy, citrus, mineral",5,1,1,2,5,https://images.vivino.com/thumbs/eETsl2BiT4SuYvEBMniy0Q_pb_x600.png,
Albert Bichot Gevrey-Chambertin 'La Justice',4.2,2019,Red wine,Pinot Noir,Gevrey-Chambertin,"Côte de Nuits, Burgundy",Burgundy,France,Albert Bichot,"₩180,000 ",13.00%,"From a specific single vineyard 'La Justice' in the prestigious Gevrey-Chambertin village of Burgundy, this Pinot Noir is known for its structure and power. It presents a complex bouquet of dark cherries, blackberries, and earthy, forest floor notes, with hints of licorice and spice from oak aging. The palate is full-bodied and well-structured with firm tannins, suggesting excellent aging potential.","cherry, raspberry, earthy, mushroom, forest floor, oak, spice, leather",5,1,2,4,2,https://www.idealwine.com/media/58/8f/ddcda882fc150933dfcc48cf926e.jpg,https://www.vivino.com/fr/albert-bichot-gevrey-chambertin-la-justice/w/1401142?ref=nav-search
D'Angelo Canneto,3.8,2017,Red wine,Aglianico,Basilicata IGT,Basilicata,Basilicata,Italy,D'Angelo,"₩35,000 ",13.00%,"Canneto is made from 100% Aglianico, a noble red grape from Southern Italy. This wine is known for its robust character, with aromas of black cherry, plum, and wild berries, complemented by notes of leather, tobacco, and a hint of volcanic earthiness. On the palate, it is full-bodied with firm tannins and a savory, persistent finish, making it an excellent match for hearty meat dishes.","cherry, plum, blackberry, leather, tobacco, earthy, oak, smoke",4,1,5,5,3,https://www.dangelowine.com/wp-content/uploads/2020/06/canneto-aglianico-del-vulture-dangelo-800x1200-1.png.webp,https://www.vivino.com/fr/dangelo-canneto/w/1399185?ref=nav-search
Tenuta Luce Lucente,4.2,2020,Red wine,"Blend (Merlot, Sangiovese)",Toscana IGT,Toscana,Toscana,Italy,Tenuta Luce,"₩75,000 ",14.50%,"Lucente is the second wine of the renowned Super Tuscan estate, Tenuta Luce. A blend of Merlot and Sangiovese, it is crafted to be more approachable in its youth. It offers a rich bouquet of ripe blackberries, cherries, and plums, with notes of vanilla, cocoa, and sweet spices. The palate is full-bodied and velvety, with soft, well-integrated tannins and a long, fruity finish.","oak, vanilla, chocolate, blackberry, cherry, plum, raspberry, spice",4,1,4,3,,https://images.vivino.com/thumbs/mrivmdHpRqig2KMs8Wchew_pb_x600.png,https://www.vivino.com/fr/tenuta-luce-lucente/w/83596?ref=nav-search
Pounamu Special Selection Sauvignon Blanc,4,2021,White wine,Sauvignon Blanc,Marlborough,South Island,Marlborough,New Zealand,Pounamu,"₩30,000 ",13.00%,"This is a classic Marlborough Sauvignon Blanc, a style famous worldwide. It bursts with intense and pungent aromas of passionfruit, guava, and grapefruit, along with signature notes of freshly cut grass and jalapeño. The palate is crisp and vibrant, with a zesty acidity and a long, expressive finish that is both refreshing and full of character.","passionfruit, grapefruit, guava, grassy, tropical, citrus, gooseberry",5,1,1,5,5,https://images.vivino.com/thumbs/YKUhzPwMQP6AJugzy_rPlw_pb_x600.png,https://www.vivino.com/fr/pounamu-special-selection-sauvignon-blanc/w/5264048?ref=nav-search
De Stefani Solér Rosso Veneto,4.2,2019,Red wine,"Blend (Marzemino, Refosco, Merlot, Cabernet Sauvignon)",Veneto IGT,Veneto,Veneto,Italy,De Stefani,"₩60,000 ",15.00%,"Solér is a unique red blend from Veneto, crafted using the 'appassimento' technique where grapes are partially dried. This process concentrates the flavors, resulting in a rich, full-bodied wine. It offers intense aromas of ripe cherry jam and plum, with notes of spice, chocolate, and vanilla from oak aging. The palate is powerful yet smooth, with soft tannins and a long, warm finish.","oak, vanilla, chocolate, jam, plum, cherry, blackberry, raspberry, spice",3,1,3,4,4,https://images.vivino.com/thumbs/ZzxUhIorS8y8MXS69vIPNw_pb_x600.png,https://www.vivino.com/fr/de-stefani-soler/w/1142010?ref=nav-search
La Rioja Alta Viña Alberdi Reserva,4.2,2016,Red wine,Tempranillo,Rioja,La Rioja,La Rioja,Spain,"La Rioja Alta, S.A.","₩45,000 ",13.50%,"Viña Alberdi is a classic Rioja Reserva from one of the region's most respected producers. Made from 100% Tempranillo and aged for two years in American oak, it displays a characteristic bouquet of ripe red fruits, vanilla, coconut, and sweet spice. On the palate, it is medium-bodied with a smooth texture and well-integrated tannins, embodying the elegant, traditional style of Rioja.","oak, vanilla, coconut, tobacco, leather, cherry, raspberry, strawberry, plum",4,1,4,5,4,https://images.vivino.com/thumbs/pW-Ew0hGR22i6EnId2KioQ_pb_x600.png,https://www.vivino.com/fr/la-rioja-alta-vina-alberdi-reserva/w/7976?ref=nav-search
Bodegas Juan Gil (Silver Label) Monastrell,4.2,2020,Red wine,Monastrell,Jumilla,Murcia,Murcia,Spain,Bodegas Juan Gil,"₩45,000 ",15.00%,"The 'Silver Label' from Juan Gil is made from old Monastrell vines and aged for 12 months in French oak barrels. It is a step up in complexity from the yellow label, offering intense aromas of ripe blackberries and plums, integrated with notes of toasted oak, cocoa, and coffee. The palate is powerful, full-bodied, and rich, with well-rounded tannins and a long, elegant finish.","oak, vanilla, chocolate, coffee, smoke, blackberry, plum, dark fruit, blueberry, spice",3,1,4,4,5,https://images.vivino.com/thumbs/Hj2iJFWgSbq3Dwkm_R-4TQ_pb_x600.png,https://www.vivino.com/fr/juan-gil-jumilla-silver-label/w/5282020?ref=nav-search
Kendall-Jackson Vintner's Reserve Chardonnay,3.9,2023,White wine,Chardonnay,California,California,California,United States,Kendall-Jackson,"₩40,000 ",13.50%,"One of America's most popular Chardonnays, known for its rich, buttery, and fruit-forward style. It's aged in French and American oak barrels, exhibiting lush tropical fruit flavors of pineapple and mango, alongside notes of vanilla, honey, and toasted oak. A creamy texture is balanced by a hint of acidity, leading to a smooth finish.","oak, butter, vanilla, tropical, pineapple, mango, pear, apple, honey",2,1,1,5,4,https://images.vivino.com/thumbs/20ykzlp3ToqV0sgtOzH3-A_pb_x600.png,https://www.vivino.com/fr/kendall-jackson-vintner-s-reserve-chardonnay/w/2132?ref=nav-search
Viña San Pedro Sideral,4.2,2019,Red wine,"Blend (Cabernet Sauvignon, Syrah, Carmenere, Cabernet Franc, Petit Verdot)",Valle del Cachapoal Andes,Cachapoal Valley,Rapel Valley,Chile,Viña San Pedro,"₩50,000 ",14.50%,"From the historic Vina San Pedro estate, established in 1865. This Sideral comes from their high-elevation vineyards in the Cachapoal Andes Valley. A blend of Cabernet Sauvignon, Syrah, Carmenere, Petit Verdot, and Cabernet Franc, it's packed with dark berries, notes of chocolate, cedar, cassis, and plum. Juicy and fresh on the tongue, more dark fruits weave around a core of fine-grained tannins leading into a long smooth finish.","oak, vanilla, chocolate, leather, smoke, blackberry, cassis, plum, pepper, tobacco",3,1,4,4,3,https://images.vivino.com/thumbs/8Vk-ONtiS4KIwl72pwUcow_pb_x600.png,https://www.vivino.com/fr/san-pedro-central-valley-sideral-cachapoal-red-wine-v-khzas/w/1108063?ref=nav-search
Tenuta San Guido Guidalberto,4.3,2022,Red wine,"Blend (Cabernet Sauvignon, Merlot)",Toscana IGT,Toscana,Toscana,Italy,Tenuta San Guido,"₩80,000 ",14.00%,"As the second wine of the iconic 'Sassicaia', Guidalberto is a blend of Cabernet Sauvignon and Merlot. First produced in 2000, it is designed to be enjoyed earlier than its famous sibling. The wine showcases vibrant fruit and elegant structure, reflecting the unique terroir of Bolgheri. Aromas of cherry, blueberry, earth, and tobacco with hints of violets. Full-bodied with a smooth texture and great length.","oak, vanilla, chocolate, tobacco, earthy, blackberry, plum, cherry, cassis, blackcurrant",4,1,4,3,2,https://images.vivino.com/thumbs/9_sZulUKTtqFOpTdIz-IRg_pb_x600.png,https://www.vivino.com/fr/tenuta-san-guido-guidalberto/w/5080?ref=nav-search
Sterling Vineyards Vintner's Collection Merlot,3.7,2018,Red wine,Merlot,California,California,California,United States,Sterling Vineyards,"₩25,000 ",13.50%,"The Sterling Vintner's Collection Merlot boasts vivid aromas of fresh mixed-berry jam, red cherry, milk chocolate, and baked spice. The wine is round and with good weight and generous flavors of blackberry bramble, sweet toasted oak, and mocha. The wine is full-bodied with great concentration, silky tannins, and a lengthy finish.","oak, vanilla, chocolate, blackberry, plum, cherry, raspberry, mocha",2,1,3,3,4,https://images.vivino.com/thumbs/c3dhdDMDQ_CtO1mSxlWaIA_pb_x600.png,https://www.vivino.com/fr/sterling-vineyards-vintner-s-collection-merlot/w/1135249?ref=nav-search
Bodegas Salentein Barrel Selection Chardonnay,3.9,2022,White wine,Chardonnay,Uco Valley,Mendoza,Mendoza,Argentina,Bodegas Salentein,"₩35,000 ",13.50%,"The Salentein Barrel Selection Chardonnay is a pure varietal Chardonnay matured for 6 months in oak casks. It offers a wonderfully rich bouquet with aromas of pears, apples, cloves, and tropical fruit like honeydew melon. On the palate, the wine is soft and full-bodied, with a lovely melt. The subtle hints of tropical fruit are underpinned by discreet notes of oak, balanced by a lovely acidity.","oak, butter, vanilla, tropical, pineapple, pear, apple, citrus, honey",4,1,1,4,4,https://images.vivino.com/thumbs/fAKFQqBvR6KrFUNrzFi7Mg_pb_x600.png,https://www.vivino.com/fr/salentein-reserve-chardonnay-barrel-selection/w/1125261?ref=nav-search
VIK Milla Cala Red Blend,4.3,2018,Red wine,"Blend (Cabernet Sauvignon, Carmenere, Cabernet Franc, Merlot, Syrah)",Cachapoal Valley,Rapel Valley,Rapel Valley,Chile,VIK,"₩70,000 ",14.60%,"Milla Cala is the second wine of the prestigious VIK winery in Chile. It is a Bordeaux-style blend that reflects the unique terroir of Millahue, the 'Place of Gold'. The wine is aged in French oak barrels, which contributes to its complexity and structure. It offers a rich palate of red and black fruits, such as raspberry and plum, complemented by notes of spice, tobacco, and chocolate with elegant, firm tannins.","oak, chocolate, tobacco, vanilla, leather, plum, blackberry, raspberry, cherry, cassis",4,1,4,5,2,https://images.vivino.com/thumbs/3uoTXRh9Ttygan2XfE4gsQ_pb_x600.png,https://www.vivino.com/fr/vina-vik-winery-milla-cala/w/4669239?ref=nav-search
Stag's Leap Wine Cellars Artemis Cabernet Sauvignon,4.4,2019,Red wine,Cabernet Sauvignon,Napa Valley,California,California,United States,Stag's Leap Wine Cellars,"₩170,000 ",14.50%,"Named after the Greek goddess of the hunt, Artemis is a classic Napa Valley Cabernet Sauvignon from one of its most renowned producers. It is known for its inviting aromas of ripe raspberry, dark cherry, and blackberry, layered with hints of cedar, spice, and vanilla. On the palate, it is full-bodied and expressive with a rich texture, supple tannins, and a long, lingering finish.","oak, vanilla, chocolate, tobacco, leather, blackberry, cassis, plum, cherry, dark fruit",3,1,5,5,2,https://images.vivino.com/thumbs/MhiwIbE4TmSLMfjD-EKYjg_pb_x600.png,https://www.vivino.com/fr/stag-s-leap-wine-cellars-artemis-cabernet-sauvignon/w/1107336?ref=nav-search
Pazo Cilleiro Albariño,4,2024,White wine,Albariño,Rías Baixas,Galicia,Galicia,Spain,Pazo Cilleiro,"₩35,000 ",13.00%,"Pazo Cilleiro is an Albariño from the Rías Baixas region in northwestern Spain, an area renowned for this grape. This wine is celebrated for its freshness and aromatic intensity. It displays vibrant citrus notes of grapefruit and lime, along with stone fruit like apricot and a distinct saline or mineral character. The palate is crisp and dry, with a zesty acidity that makes it incredibly refreshing.","citrus, grapefruit, lime, green apple, stone fruit, apricot, mineral, saline",5,1,1,2,5,https://images.vivino.com/thumbs/3wo3M9nBTQaNSEy01q62bA_pb_x600.png,https://www.vivino.com/fr/bodegas-pazo-cilleiro-albarino/w/3634498?ref=nav-search
Bodegas Juan Gil (Yellow Label) Monastrell,4.1,2023,Red wine,Monastrell,Jumilla,Murcia,Murcia,Spain,Bodegas Juan Gil,"₩30,000 ",15.00%,"This wine is made from 100% Monastrell grapes from old vines in the Jumilla region of Spain. Aged for 4 months in French oak, it is known for its deep color and powerful aromas. It offers an intense bouquet of ripe blackberry, blueberry, and plum, with toasted notes of coffee, cocoa, and spice from the oak. The palate is rich, full-bodied, and well-structured with a long, savory finish.","oak, vanilla, chocolate, smoke, blackberry, plum, dark fruit, blueberry, cherry, pepper",3,1,4,4,5,https://images.vivino.com/thumbs/V8PyRnKuROmcpxJBUuzmDQ_pb_x600.png,https://www.vivino.com/fr/juan-gil-jumilla-yellow-label/w/1134571?ref=nav-search
Marchesi Antinori Tenuta Tignanello Chianti Classico Riserva,4.3,2020,Red wine,Sangiovese,Chianti Classico,Toscana,Toscana,Italy,Marchesi Antinori,"₩85,000 ",14.00%,"Produced by the historic Antinori family at their Tignanello estate, this Chianti Classico Riserva is predominantly Sangiovese. Aged in oak barrels, it's a wine of great elegance and complexity, showing intense aromas of red fruits like cherry and raspberry, along with notes of licorice, vanilla, and spice. The palate is full-bodied and supple with velvety tannins and a long, savory finish.","oak, vanilla, tobacco, leather, cherry, raspberry, plum, earthy, strawberry",5,1,4,4,2,https://images.vivino.com/thumbs/SeGbLh20S5W7N0WcIqBywQ_pb_x600.png,https://www.vivino.com/fr/antinori-tuscany-tenuta-tignanello-marchese-antinori-chianti-classico-riserva/w/1654?ref=nav-search
Feudo Arancio Dalila Riserva,4,2021,White wine,"Blend (Grillo, Viognier)",Sicilia DOC,Sicily,Sicily,Italy,Feudo Arancio,"₩35,000 ",13.50%,"Dalila is an intriguing white blend from Sicily, combining the native Grillo grape with aromatic Viognier. A portion of the wine is fermented in oak barrels, adding complexity. It presents a bouquet of ripe tropical fruits, peach, and apricot, with hints of vanilla and wildflowers. The palate is rich and full-bodied yet balanced by a refreshing acidity, leading to a persistent and aromatic finish.","oak, vanilla, butter, tropical, pineapple, mango, peach, apricot, citrus",3,1,1,3,5,https://images.vivino.com/thumbs/RWiGDh50RyqHBmoa-FuKaQ_pb_x600.png,https://www.vivino.com/fr/feudo-arancio-dalila-riserva/w/1191231?ref=nav-search
Viña Vistamar Reserva Merlot,3.6,2019,Red wine,Merlot,Maule Valley,Central Valley,Maule Valley,Chile,Viña Vistamar,"₩20,000 ",13.50%,"This Merlot Reserva from Chile's Maule Valley is known for being soft, fruity, and approachable. It is aged for a short period in oak to add subtle complexity. The wine displays aromas of ripe red fruits like plums and cherries, mixed with notes of black pepper, chocolate, and a hint of vanilla. On the palate, it is medium-bodied with soft, rounded tannins and a pleasant, fruity finish.","oak, vanilla, chocolate, plum, cherry, blackberry, raspberry, pepper",2,1,3,3,4,https://images.vivino.com/thumbs/srr2vi-mRxSHzNAxdwxBkA_pb_x600.png,https://www.vivino.com/fr/vina-palo-alto-reserva-ii-merlot-shiraz-tempranillo-viognier/w/1231378?ref=nav-search
Redtree Chardonnay,3.5,2019,White wine,Chardonnay,California,California,California,United States,Redtree Wines,"₩18,000 ",13.50%,"Redtree Chardonnay is a fruit-forward, crowd-pleasing wine from California. It aims for a clean and refreshing style, opening with aromas of green apple, pear, and citrus, with a touch of tropical fruit and vanilla. The palate is bright and crisp, with a medium body and a smooth finish, making it a versatile wine for pairing with a variety of dishes or enjoying on its own.","apple, pear, citrus, tropical, pineapple, vanilla, butter",3,1,1,2,4,https://images.vivino.com/thumbs/gNtszOX3SPaVb3FByyyzQA_pb_x600.png,https://www.vivino.com/fr/redtree-chardonnay/w/13490?ref=nav-search
Château Tour d'Auron,3.6,2020,Red wine,"Blend (Merlot, Cabernet Sauvignon)",Bordeaux,Bordeaux,Bordeaux,France,Château Tour d'Auron,"₩20,000 ",13.50%,"Château Tour d'Auron is a classic Bordeaux red from the Entre-Deux-Mers region. It typically presents a blend of Merlot and Cabernet Sauvignon, offering straightforward and approachable fruit flavors. Expect aromas of red fruits like cherry and plum with some earthy and spicy undertones. On the palate, it is medium-bodied with smooth tannins, making it an easy-drinking wine suitable for everyday meals.","cherry, plum, earthy, blackberry, cassis, oak, tobacco",3,1,3,3,4,https://images.vivino.com/thumbs/iY6G7FIlSa6MXfKhDoue6Q_pb_x600.png,https://www.vivino.com/fr/tour-d-auron-bordeaux-superieur/w/1193573?ref=nav-search
Château Valandraud 'Symphony No. 3 Eroica',4.5,2012,Red wine,"Blend (Sauvignon Blanc, Sémillon, Sauvignon Gris)",Saint-Émilion Grand Cru,Bordeaux,Bordeaux,France,Château Valandraud,"₩350,000 ",14.50%,"A special bottling from one of Saint-Émilion's most famous ""garage wine"" producers. The 2012 vintage is characterized by its opulence and concentration, revealing complex aromas of black cherries, truffle, licorice, and smoke, with hints of chocolate and espresso. The palate is full-bodied, dense, and layered, with ripe, velvety tannins and a remarkably long finish. This edition celebrated Beethoven's 250th anniversary.","oak, vanilla, chocolate, tobacco, leather, truffle, blackberry, cherry, plum, cassis",3,1,5,5,1,https://cfnimage.commutil.kr/phpwas/restmb_allidxmake.php?pp=002&idx=3&simg=202005071013290307699ebb0383812323473.jpg&nmt=18,https://www.vivino.com/fr/chateau-valandraud-symphony-eroica-no-3-saint-emilion-grand-cru/w/8707174?ref=nav-search
Domaine Octavie Touraine Sauvignon Blanc,3.8,2021,White wine,Sauvignon Blanc,Touraine,Loire Valley,Loire,France,Domaine Octavie,"₩30,000 ",12.50%,"This is a classic Sauvignon Blanc from the Touraine appellation in France's Loire Valley. The wine bursts with vibrant notes of gooseberry, grapefruit, and fresh-cut grass, with a distinct flinty mineral character. On the palate, it is light-bodied, crisp, and dry, with a zesty acidity and a clean, refreshing finish, making it a quintessential example of the grape from its homeland.","grapefruit, gooseberry, citrus, green apple, grassy, mineral, flint",5,1,1,2,5,https://images.vivino.com/thumbs/NTqSOMKlRsmmM31tyoD8rQ_pb_x600.png,https://www.vivino.com/fr/roc-de-chateauvieux-sauvignon-blanc-touraine/w/1144601?ref=nav-search
Casa Marin Cipreses Vineyard Sauvignon Blanc,4.3,2022,White wine,Sauvignon Blanc,San Antonio Valley,Aconcagua,Aconcagua,Chile,Casa Marin,"₩50,000 ",13.50%,"From the cool-climate, coastal San Antonio Valley in Chile, this is one of the country's benchmark white wines. It is intensely aromatic, showcasing pungent notes of green bell pepper and citrus zest, combined with a saline, stony minerality. The palate is bone-dry and electric, with a sharp, piercing acidity and a long, savory finish. (Note: Vintage not fully visible, 2022 used as a recent example).","grapefruit, gooseberry, citrus, lime, bell pepper, grassy, mineral, saline",5,1,1,3,4,https://images.vivino.com/thumbs/HlLvJFBIS_OjAHD0KnqV1A_pb_x600.png,https://www.vivino.com/fr/casa-marin-cipreses-vineyard-sauvignon-blanc/w/1147982?ref=nav-search
